,Date/Time,AIR LOOP DEMAND SIDE INLET 1:System Node Temperature [C](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Temperature [C](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly)
0, 01/01  01:00:00,12.701494190912566,18.9442075938461,0.0040431301891644,15.870976895310683,15.522610771225914,12.701494190912566,18.9442075938461,0.0040431301891644,15.870976895310683
1, 01/01  02:00:00,12.568058548702409,18.9442075938461,0.0038664423373818,15.870976895310683,15.472430840249425,12.568058548702409,18.9442075938461,0.0038664423373818,15.870976895310683
2, 01/01  03:00:00,12.45534517757179,18.9442075938461,0.0038304797154504,15.870976895310683,15.48076244475934,12.45534517757179,18.9442075938461,0.0038304797154504,15.870976895310683
3, 01/01  04:00:00,12.368228254967965,18.9442075938461,0.0038485953338247,15.870976895310683,15.49183809387866,12.368228254967965,18.9442075938461,0.0038485953338247,15.870976895310683
4, 01/01  05:00:00,12.233008968494456,18.9442075938461,0.0038679304696187,15.870976895310683,15.511905709261613,12.233008968494456,18.9442075938461,0.0038679304696187,15.870976895310683
5, 01/01  06:00:00,12.100121343993152,18.9442075938461,0.0038774817997518,15.870976895310683,15.524196819983594,12.100121343993152,18.9442075938461,0.0038774817997518,15.870976895310683
6, 01/01  07:00:00,12.285300292823486,18.9442075938461,0.003791614601394,15.870976895310683,15.547611559447969,12.285300292823486,18.9442075938461,0.003791614601394,15.870976895310683
7, 01/01  08:00:00,12.780104848855405,18.9442075938461,0.0036902616221607,15.870976895310683,15.599227939728497,12.780104848855405,18.9442075938461,0.0036902616221607,15.870976895310683
8, 01/01  09:00:00,14.113606587544146,18.9442075938461,0.0037167986729369,15.870976895310688,15.68045920550976,14.113606587544146,18.9442075938461,0.0037167986729369,15.870976895310688
9, 01/01  10:00:00,14.745483102201868,18.9442075938461,0.003832517867916,15.870976895310683,15.729633779459588,14.745483102201868,18.9442075938461,0.003832517867916,15.870976895310683
10, 01/01  11:00:00,14.987447748164112,18.9442075938461,0.0042113174246879,15.870976895310683,15.779964669240549,14.987447748164112,18.9442075938461,0.0042113174246879,15.870976895310683
11, 01/01  12:00:00,14.94384363285519,18.9442075938461,0.0046121892617457,15.870976895310688,15.807441703876613,14.94384363285519,18.9442075938461,0.0046121892617457,15.870976895310688
12, 01/01  13:00:00,14.978312086264332,18.9442075938461,0.0047332019318913,15.870976895310683,15.816346065965337,14.978312086264332,18.9442075938461,0.0047332019318913,15.870976895310683
13, 01/01  14:00:00,14.986276625317478,18.9442075938461,0.0048584960222372,15.870976895310683,15.819945362195227,14.986276625317478,18.9442075938461,0.0048584960222372,15.870976895310683
14, 01/01  15:00:00,14.98582567751988,18.9442075938461,0.0051079876901152,15.870976895310683,15.826217181941688,14.98582567751988,18.9442075938461,0.0051079876901152,15.870976895310683
15, 01/01  16:00:00,14.985594068462785,18.9442075938461,0.0052362115014157,15.870976895310683,15.817554526184392,14.985594068462785,18.9442075938461,0.0052362115014157,15.870976895310683
16, 01/01  17:00:00,14.985323211808756,18.9442075938461,0.0053862415650027,15.870976895310683,15.817362979686864,14.985323211808756,18.9442075938461,0.0053862415650027,15.870976895310683
17, 01/01  18:00:00,14.985388292521709,18.9442075938461,0.0053501853344425,15.870976895310688,15.80459347350832,14.985388292521709,18.9442075938461,0.0053501853344425,15.870976895310688
18, 01/01  19:00:00,14.985690574539149,18.9442075938461,0.0051825263111169,15.870976895310683,15.796434757220435,14.985690574539149,18.9442075938461,0.0051825263111169,15.870976895310683
19, 01/01  20:00:00,14.72572508851513,18.9442075938461,0.0050428677024387,15.870976895310683,15.778668685010576,14.72572508851513,18.9442075938461,0.0050428677024387,15.870976895310683
20, 01/01  21:00:00,14.343803890592511,18.9442075938461,0.0048870840170962,15.870976895310683,15.742015898895913,14.343803890592511,18.9442075938461,0.0048870840170962,15.870976895310683
21, 01/01  22:00:00,13.973368853039709,18.9442075938461,0.004728912365696,15.870976895310683,15.725619751145423,13.973368853039709,18.9442075938461,0.004728912365696,15.870976895310683
22, 01/01  23:00:00,13.378635279119184,18.9442075938461,0.0044874219613673,15.870976895310688,15.702698161949414,13.378635279119184,18.9442075938461,0.0044874219613673,15.870976895310688
23, 01/01  24:00:00,12.98434297657997,18.9442075938461,0.0042981486830729,15.870976895310683,15.692055775934886,12.98434297657997,18.9442075938461,0.0042981486830729,15.870976895310683
24, 01/02  01:00:00,12.56827209389601,18.9442075938461,0.0040442847085089,15.870976895310683,15.678592524291018,12.56827209389601,18.9442075938461,0.0040442847085089,15.870976895310683
25, 01/02  02:00:00,12.43164531701895,18.9442075938461,0.0039994693086614,15.870976895310683,15.67390258319471,12.43164531701895,18.9442075938461,0.0039994693086614,15.870976895310683
26, 01/02  03:00:00,12.36470592925734,18.9442075938461,0.0040265310333368,15.870976895310683,15.670906095270537,12.36470592925734,18.9442075938461,0.0040265310333368,15.870976895310683
